metadata:2018-08-24 15:50:17
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-08-24 15:50:18,0,27,26.71,66,12,990.29,  0.29,26
1,2018-08-24 15:50:22,0,27,26.72,67,13,990.29,  0.22,26
2,2018-08-24 15:50:25,0,27,26.72,67,13,990.31,  0.20,26
3,2018-08-24 15:50:31,0,27,26.72,67,13,990.29,  0.15,26
4,2018-08-24 15:50:35,0,28,26.72,68,13,990.29,  0.17,26
5,2018-08-24 15:50:39,0,28,26.72,68,13,990.29,  0.19,26
6,2018-08-24 15:50:44,0,28,26.72,68,13,990.29,  0.14,26
7,2018-08-24 15:50:48,0,28,26.71,68,13,990.31,  0.14,26
8,2018-08-24 15:50:52,0,28,26.73,68,13,990.29,  0.18,26
9,2018-08-24 15:50:57,0,28,26.74,67,13,990.32,  0.14,26
10,2018-08-24 15:51:01,0,28,26.74,67,13,990.38,  0.14,26
11,2018-08-24 15:51:05,0,28,26.74,67,13,990.34,  0.16,26
12,2018-08-24 15:51:10,0,28,26.75,67,13,990.34,  0.18,27
13,2018-08-24 15:51:14,0,28,26.75,67,13,990.32,  0.14,27
14,2018-08-24 15:51:18,0,28,26.77,67,13,990.29,  0.14,26
15,2018-08-24 15:51:23,0,28,26.78,68,13,990.32,  0.18,27
16,2018-08-24 15:51:27,0,28,26.78,68,13,990.32,  0.14,27
17,2018-08-24 15:51:31,0,28,26.79,68,13,990.32,  0.13,27
18,2018-08-24 15:51:36,0,28,26.80,68,12,990.36,  0.17,27
19,2018-08-24 15:51:40,0,28,26.81,68,13,990.41,  0.18,27
20,2018-08-24 15:51:44,0,28,26.82,67,13,990.32,  0.18,27
21,2018-08-24 15:51:49,0,28,26.82,67,13,990.32,  0.15,27
22,2018-08-24 15:51:53,0,28,26.85,67,13,990.33,  0.14,27
23,2018-08-24 15:51:57,0,28,26.85,67,13,990.33,  0.13,27
24,2018-08-24 15:52:02,0,28,26.85,67,13,990.33,  0.14,27
25,2018-08-24 15:52:06,0,28,26.87,67,13,990.33,  0.16,27
26,2018-08-24 15:52:10,0,28,26.89,67,13,990.39,  0.16,27
27,2018-08-24 15:52:15,0,28,26.89,67,13,990.41,  0.17,27
28,2018-08-24 15:52:19,0,28,26.91,67,13,990.30,  0.18,27
29,2018-08-24 15:52:23,0,28,26.92,67,13,990.33,  0.17,27
30,2018-08-24 15:52:28,0,28,26.94,66,13,990.22,  0.14,27
31,2018-08-24 15:52:32,0,28,26.94,66,13,990.33,  0.13,27
32,2018-08-24 15:52:36,0,28,26.96,66,13,990.28,  0.16,27
33,2018-08-24 15:52:41,0,28,26.98,66,13,990.33,  0.17,27
34,2018-08-24 15:52:45,0,28,26.99,66,13,990.31,  0.17,27
35,2018-08-24 15:52:49,0,28,27.00,66,13,990.25,  0.13,27
36,2018-08-24 15:52:55,0,28,27.02,66,13,990.25,  0.17,27
37,2018-08-24 15:52:58,0,28,27.03,66,13,990.25,  0.17,27
38,2018-08-24 15:53:02,0,28,27.04,66,13,990.25,  0.13,27
39,2018-08-24 15:53:08,0,28,27.06,66,13,990.26,  0.15,27
40,2018-08-24 15:53:12,0,28,27.06,66,13,990.28,  0.17,27
41,2018-08-24 15:53:15,0,28,27.08,66,13,990.26,  0.16,27
42,2018-08-24 15:53:21,0,28,27.11,66,13,990.29,  0.13,27
43,2018-08-24 15:53:25,0,28,27.12,66,13,990.29,  0.17,27
44,2018-08-24 15:53:29,0,28,27.12,66,13,990.29,  0.17,28
45,2018-08-24 15:53:34,0,28,27.15,65,13,990.36,  0.14,27
46,2018-08-24 15:53:38,0,28,27.15,65,13,990.39,  0.13,27
47,2018-08-24 15:53:42,0,28,27.17,65,13,990.29,  0.13,27
48,2018-08-24 15:53:47,0,28,27.19,65,13,990.32,  0.17,27
49,2018-08-24 15:53:51,0,28,27.21,65,13,990.36,  0.17,27
50,2018-08-24 15:53:55,0,28,27.21,65,13,990.32,  0.16,27
51,2018-08-24 15:54:00,0,28,27.24,65,13,990.33,  0.17,28
52,2018-08-24 15:54:04,0,28,27.24,65,13,990.27,  0.13,27
53,2018-08-24 15:54:08,0,28,27.25,65,13,990.27,  0.13,27
54,2018-08-24 15:54:13,0,28,27.26,65,13,990.21,  0.13,27
55,2018-08-24 15:54:17,0,28,27.29,65,13,990.27,  0.17,27
56,2018-08-24 15:54:21,0,28,27.30,65,13,990.37,  0.15,28
57,2018-08-24 15:54:26,0,28,27.31,65,13,990.22,  0.13,28
58,2018-08-24 15:54:30,0,28,27.32,65,13,990.33,  0.17,28
59,2018-08-24 15:54:34,0,28,27.33,64,13,990.25,  0.12,28
60,2018-08-24 15:54:39,0,28,27.34,64,13,990.28,  0.17,28
61,2018-08-24 15:54:43,0,29,27.36,65,13,990.31,  0.13,28
62,2018-08-24 15:54:47,0,29,27.37,65,13,990.34,  0.17,28
63,2018-08-24 15:54:52,0,29,27.38,65,13,990.34,  0.12,28
64,2018-08-24 15:54:56,0,29,27.38,65,13,990.37,  0.16,28
65,2018-08-24 15:55:00,0,29,27.40,65,13,990.34,  0.16,28
66,2018-08-24 15:55:05,0,29,27.41,65,13,990.31,  0.13,28
67,2018-08-24 15:55:09,0,29,27.41,65,13,990.31,  0.16,28
68,2018-08-24 15:55:13,0,29,27.42,65,13,990.31,  0.17,28
69,2018-08-24 15:55:18,0,29,27.44,65,13,990.40,  0.17,28
70,2018-08-24 15:55:22,0,29,27.45,65,13,990.38,  0.17,28
71,2018-08-24 15:55:26,0,29,27.46,65,13,990.26,  0.16,28
72,2018-08-24 15:55:32,0,29,27.47,65,13,990.34,  0.13,28
73,2018-08-24 15:55:35,0,29,27.49,65,13,990.40,  0.15,28
74,2018-08-24 15:55:39,0,29,27.50,65,13,990.32,  0.16,28
75,2018-08-24 15:55:45,0,29,27.51,65,13,990.38,  0.13,28
76,2018-08-24 15:55:49,0,29,27.52,65,13,990.36,  0.17,28
77,2018-08-24 15:55:52,0,29,27.53,65,13,990.36,  0.13,28
78,2018-08-24 15:55:58,0,29,27.54,65,13,990.36,  0.15,28
79,2018-08-24 15:56:02,0,29,27.54,64,13,990.29,  0.17,28
80,2018-08-24 15:56:06,0,29,27.56,64,13,990.36,  0.16,28
81,2018-08-24 15:56:11,0,29,27.56,64,13,990.36,  0.13,28
82,2018-08-24 15:56:15,0,29,27.57,64,13,990.36,  0.12,28
83,2018-08-24 15:56:19,0,29,27.58,64,13,990.39,  0.13,28
84,2018-08-24 15:56:24,0,29,27.61,64,13,990.45,  0.17,28
85,2018-08-24 15:56:28,0,29,27.60,64,13,990.32,  0.16,28
86,2018-08-24 15:56:32,0,29,27.62,64,12,990.36,  0.13,28
87,2018-08-24 15:56:37,0,29,27.62,64,13,990.36,  0.15,28
88,2018-08-24 15:56:41,0,29,27.63,64,13,990.45,  0.16,28
89,2018-08-24 15:56:45,0,29,27.63,64,13,990.41,  0.13,28
90,2018-08-24 15:56:50,0,29,27.65,65,13,990.37,  0.13,28
91,2018-08-24 15:56:54,0,29,27.65,65,13,990.37,  0.15,28
92,2018-08-24 15:56:58,0,29,27.66,65,13,990.37,  0.17,28
93,2018-08-24 15:57:03,0,29,27.67,64,13,990.39,  0.16,28
94,2018-08-24 15:57:07,0,29,27.68,65,13,990.37,  0.16,28
95,2018-08-24 15:57:11,0,29,27.69,65,13,990.39,  0.13,28
96,2018-08-24 15:57:16,0,29,27.70,65,13,990.30,  0.14,28
97,2018-08-24 15:57:20,0,29,27.71,64,13,990.37,  0.17,28
98,2018-08-24 15:57:24,0,29,27.72,64,13,990.37,  0.13,28
99,2018-08-24 15:57:29,0,29,27.73,64,13,990.33,  0.12,28
100,2018-08-24 15:57:33,0,29,27.74,64,10,990.33,  0.16,28
101,2018-08-24 15:57:37,0,29,27.75,64,12,990.34,  0.15,28
102,2018-08-24 15:57:42,0,29,27.76,64,13,990.37,  0.13,28
103,2018-08-24 15:57:46,0,29,27.76,64,13,990.34,  0.16,28
104,2018-08-24 15:57:50,0,29,27.76,64,13,990.37,  0.16,28
105,2018-08-24 15:57:55,0,29,27.79,64,13,990.34,  0.15,28
106,2018-08-24 15:57:59,0,29,27.80,64,13,990.31,  0.12,28
107,2018-08-24 15:58:03,0,29,27.80,64,13,990.28,  0.14,28
108,2018-08-24 15:58:09,0,29,27.80,64,13,990.38,  0.16,28
109,2018-08-24 15:58:13,0,29,27.81,64,13,990.31,  0.13,28
110,2018-08-24 15:58:16,0,29,27.82,64,13,990.28,  0.13,28
111,2018-08-24 15:58:22,0,29,27.83,64,13,990.29,  0.16,28
112,2018-08-24 15:58:26,0,29,27.84,64,13,990.40,  0.12,28
113,2018-08-24 15:58:30,0,29,27.83,64,13,990.38,  0.16,28
114,2018-08-24 15:58:35,0,29,27.85,64,13,990.38,  0.12,28
115,2018-08-24 15:58:39,0,29,27.86,64,13,990.38,  0.13,28
116,2018-08-24 15:58:43,0,29,27.86,64,13,990.40,  0.16,28
117,2018-08-24 15:58:48,0,29,27.87,63,13,990.38,  0.16,28
118,2018-08-24 15:58:52,0,29,27.87,63,13,990.40,  0.13,28
119,2018-08-24 15:58:56,0,29,27.87,63,13,990.32,  0.12,28
120,2018-08-24 15:59:01,0,29,27.89,63,13,990.38,  0.13,28
121,2018-08-24 15:59:05,0,29,27.89,63,13,990.29,  0.16,28
122,2018-08-24 15:59:09,0,29,27.90,63,13,990.36,  0.16,28
123,2018-08-24 15:59:14,0,29,27.91,63,13,990.32,  0.13,28
124,2018-08-24 15:59:18,0,29,27.93,63,13,990.39,  0.12,28
125,2018-08-24 15:59:22,0,29,27.93,63,13,990.36,  0.13,28
126,2018-08-24 15:59:27,0,29,27.94,63,13,990.39,  0.14,28
127,2018-08-24 15:59:31,0,29,27.93,63,13,990.41,  0.16,28
128,2018-08-24 15:59:35,0,29,27.94,63,13,990.41,  0.16,28
129,2018-08-24 15:59:40,0,29,27.94,63,13,990.39,  0.16,28
130,2018-08-24 15:59:44,0,29,27.95,63,13,990.39,  0.13,28
131,2018-08-24 15:59:48,0,29,27.95,63,13,990.36,  0.15,28
132,2018-08-24 15:59:53,0,29,27.96,63,13,990.36,  0.16,28
133,2018-08-24 15:59:57,0,29,27.97,63,13,990.39,  0.16,28
134,2018-08-24 16:00:01,0,29,27.98,63,13,990.30,  0.15,28
135,2018-08-24 16:00:06,0,29,27.98,63,13,990.36,  0.12,28
136,2018-08-24 16:00:10,0,29,27.99,63,13,990.39,  0.12,28
137,2018-08-24 16:00:14,0,29,27.99,63,13,990.36,  0.13,28
138,2018-08-24 16:00:19,0,29,28.00,63,13,990.36,  0.16,28
139,2018-08-24 16:00:23,0,29,28.01,63,13,990.37,  0.13,28
140,2018-08-24 16:00:27,0,29,28.01,63,13,990.39,  0.16,28
141,2018-08-24 16:00:32,0,29,28.02,63,13,990.41,  0.16,28
142,2018-08-24 16:00:36,0,29,28.03,63,13,990.33,  0.15,28
143,2018-08-24 16:00:40,0,29,28.05,63,13,990.30,  0.12,28
144,2018-08-24 16:00:46,0,29,28.05,63,13,990.33,  0.12,28
145,2018-08-24 16:00:49,0,29,28.05,63,13,990.30,  0.13,28
146,2018-08-24 16:00:53,0,29,28.07,63,13,990.37,  0.16,28
147,2018-08-24 16:00:59,0,29,28.07,63,13,990.30,  0.16,28
148,2018-08-24 16:01:03,0,29,28.08,62,13,990.30,  0.16,28
149,2018-08-24 16:01:07,0,29,28.09,63,13,990.31,  0.16,28
150,2018-08-24 16:01:12,0,29,28.09,62,13,990.30,  0.13,28
151,2018-08-24 16:01:16,0,29,28.09,62,13,990.37,  0.12,28
152,2018-08-24 16:01:20,0,29,28.11,62,13,990.37,  0.12,28
153,2018-08-24 16:01:25,0,29,28.11,62,13,990.39,  0.13,28
154,2018-08-24 16:01:29,0,29,28.12,62,13,990.37,  0.15,28
155,2018-08-24 16:01:33,0,29,28.12,62,13,990.25,  0.16,28
156,2018-08-24 16:01:38,0,29,28.14,62,13,990.37,  0.16,28
157,2018-08-24 16:01:42,0,29,28.14,62,13,990.34,  0.12,28
158,2018-08-24 16:01:46,0,29,28.14,62,13,990.31,  0.12,28
159,2018-08-24 16:01:51,0,29,28.16,62,13,990.34,  0.15,28
160,2018-08-24 16:01:55,0,29,28.16,62,13,990.31,  0.16,28
161,2018-08-24 16:01:59,0,29,28.16,62,13,990.31,  0.16,28
162,2018-08-24 16:02:04,0,29,28.17,62,13,990.34,  0.15,28
163,2018-08-24 16:02:08,0,29,28.17,62,13,990.38,  0.12,28
164,2018-08-24 16:02:12,0,29,28.18,62,13,990.40,  0.15,28
165,2018-08-24 16:02:17,0,29,28.17,62,13,990.34,  0.12,28
166,2018-08-24 16:02:21,0,29,28.18,62,13,990.38,  0.13,28
167,2018-08-24 16:02:25,0,29,28.19,62,13,990.34,  0.16,28
168,2018-08-24 16:02:30,0,29,28.19,62,13,990.34,  0.16,28
169,2018-08-24 16:02:34,0,29,28.19,62,13,990.34,  0.16,28
170,2018-08-24 16:02:38,0,29,28.20,62,13,990.38,  0.12,28
171,2018-08-24 16:02:43,0,29,28.22,62,13,990.40,  0.12,28
172,2018-08-24 16:02:47,0,29,28.21,62,13,990.40,  0.12,28
173,2018-08-24 16:02:51,0,29,28.22,62,13,990.34,  0.15,28
174,2018-08-24 16:02:56,0,29,28.23,62,13,990.38,  0.12,28
175,2018-08-24 16:03:00,0,29,28.23,62,13,990.44,  0.15,28
176,2018-08-24 16:03:04,0,29,28.23,62,13,990.38,  0.16,28
177,2018-08-24 16:03:10,0,29,28.23,62,13,990.34,  0.16,28
178,2018-08-24 16:03:13,0,29,28.24,61,13,990.38,  0.15,28
179,2018-08-24 16:03:17,0,29,28.25,61,13,990.38,  0.12,28
180,2018-08-24 16:03:23,0,29,28.25,61,13,990.40,  0.12,28
181,2018-08-24 16:03:27,0,29,28.24,61,13,990.38,  0.12,28
182,2018-08-24 16:03:30,0,29,28.25,61,13,990.38,  0.14,28
183,2018-08-24 16:03:36,0,29,28.25,61,13,990.38,  0.16,28
184,2018-08-24 16:03:40,0,29,28.25,61,13,990.32,  0.12,28
185,2018-08-24 16:03:44,0,29,28.26,61,13,990.39,  0.12,28
186,2018-08-24 16:03:49,0,29,28.26,61,13,990.39,  0.12,28
187,2018-08-24 16:03:53,0,29,28.26,61,13,990.38,  0.14,28
188,2018-08-24 16:03:57,0,29,28.26,61,13,990.36,  0.16,28
189,2018-08-24 16:04:02,0,29,28.26,61,13,990.40,  0.16,28
190,2018-08-24 16:04:06,0,29,28.26,61,13,990.39,  0.16,28
191,2018-08-24 16:04:10,0,29,28.27,61,13,990.36,  0.12,28
192,2018-08-24 16:04:15,0,29,28.28,61,13,990.40,  0.12,28
193,2018-08-24 16:04:19,0,29,28.28,61,13,990.39,  0.12,28
194,2018-08-24 16:04:23,0,29,28.27,61,13,990.36,  0.14,28
195,2018-08-24 16:04:28,0,29,28.27,61,13,990.40,  0.16,28
196,2018-08-24 16:04:32,0,29,28.28,61,13,990.39,  0.16,28
197,2018-08-24 16:04:36,0,29,28.28,61,13,990.39,  0.16,28
198,2018-08-24 16:04:41,0,29,28.27,61,13,990.40,  0.16,28
199,2018-08-24 16:04:45,0,29,28.27,61,13,990.32,  0.14,28
200,2018-08-24 16:04:49,0,29,28.29,61,13,990.44,  0.12,28
201,2018-08-24 16:04:54,0,29,28.29,61,13,990.40,  0.15,28
202,2018-08-24 16:04:58,0,29,28.28,61,13,990.47,  0.16,28
203,2018-08-24 16:05:02,0,29,28.29,61,14,990.44,  0.16,28
204,2018-08-24 16:05:07,0,29,28.29,61,14,990.47,  0.16,28
205,2018-08-24 16:05:11,0,29,28.30,62,13,990.40,  0.13,28
206,2018-08-24 16:05:15,0,29,28.28,62,13,990.39,  0.12,28
207,2018-08-24 16:05:20,0,29,28.30,62,13,990.39,  0.12,28
208,2018-08-24 16:05:24,0,29,28.29,61,13,990.44,  0.12,28
209,2018-08-24 16:05:28,0,29,28.30,62,13,990.39,  0.12,28
210,2018-08-24 16:05:33,0,29,28.31,62,13,990.47,  0.14,28
211,2018-08-24 16:05:37,0,29,28.29,61,13,990.36,  0.16,28
212,2018-08-24 16:05:41,0,29,28.30,61,13,990.39,  0.16,28
213,2018-08-24 16:05:47,0,29,28.30,61,13,990.36,  0.14,28
214,2018-08-24 16:05:50,0,29,28.30,61,13,990.40,  0.12,28
215,2018-08-24 16:05:54,0,29,28.30,61,13,990.39,  0.12,28
216,2018-08-24 16:06:00,0,29,28.30,61,13,990.39,  0.13,28
217,2018-08-24 16:06:04,0,29,28.30,61,13,990.40,  0.16,28
218,2018-08-24 16:06:07,0,29,28.31,61,13,990.47,  0.16,28
219,2018-08-24 16:06:13,0,29,28.30,62,13,990.36,  0.16,28
220,2018-08-24 16:06:17,0,29,28.32,61,14,990.44,  0.15,28
221,2018-08-24 16:06:21,0,29,28.30,61,14,990.39,  0.12,28
222,2018-08-24 16:06:26,0,29,28.31,61,13,990.41,  0.12,28
223,2018-08-24 16:06:30,0,29,28.32,61,13,990.41,  0.15,28
224,2018-08-24 16:06:34,0,29,28.32,61,13,990.36,  0.16,28
225,2018-08-24 16:06:39,0,29,28.32,61,13,990.44,  0.14,28
226,2018-08-24 16:06:43,0,29,28.32,61,13,990.44,  0.12,28
227,2018-08-24 16:06:47,0,29,28.33,61,13,990.45,  0.14,28
228,2018-08-24 16:06:52,0,29,28.33,61,13,990.45,  0.16,28
229,2018-08-24 16:06:56,0,29,28.32,61,13,990.41,  0.16,28
230,2018-08-24 16:07:00,0,29,28.33,61,13,990.41,  0.14,28
231,2018-08-24 16:07:05,0,29,28.33,61,13,990.41,  0.12,28
232,2018-08-24 16:07:09,0,29,28.34,61,13,990.39,  0.12,28
233,2018-08-24 16:07:13,0,29,28.33,61,13,990.36,  0.13,28
234,2018-08-24 16:07:18,0,29,28.34,61,13,990.47,  0.16,28
235,2018-08-24 16:07:22,0,29,28.33,61,13,990.41,  0.14,28
236,2018-08-24 16:07:26,0,29,28.34,61,13,990.41,  0.12,28
237,2018-08-24 16:07:31,0,29,28.34,61,13,990.49,  0.13,28
238,2018-08-24 16:07:35,0,29,28.33,61,13,990.32,  0.16,28
239,2018-08-24 16:07:39,0,29,28.34,61,12,990.32,  0.16,28
240,2018-08-24 16:07:44,0,29,28.33,61,12,990.36,  0.16,28
241,2018-08-24 16:07:48,0,29,28.35,61,12,990.39,  0.13,28
242,2018-08-24 16:07:52,0,29,28.36,61,12,990.39,  0.12,28
243,2018-08-24 16:07:57,0,29,28.35,61,13,990.39,  0.12,28
244,2018-08-24 16:08:01,0,29,28.36,61,13,990.53,  0.12,28
245,2018-08-24 16:08:05,0,29,28.35,61,13,990.47,  0.12,28
246,2018-08-24 16:08:10,0,29,28.36,61,13,990.47,  0.13,28
247,2018-08-24 16:08:14,0,29,28.34,61,13,990.53,  0.16,28
248,2018-08-24 16:08:18,0,29,28.34,61,13,990.45,  0.16,28
249,2018-08-24 16:08:24,0,29,28.34,61,13,990.45,  0.15,28
250,2018-08-24 16:08:27,0,29,28.33,61,13,990.45,  0.12,28
251,2018-08-24 16:08:31,0,29,28.33,61,13,990.49,  0.12,28
252,2018-08-24 16:08:37,0,29,28.34,61,13,990.47,  0.16,28
253,2018-08-24 16:08:41,0,29,28.35,61,13,990.49,  0.16,28
254,2018-08-24 16:08:44,0,29,28.34,61,13,990.41,  0.16,28
255,2018-08-24 16:08:50,0,29,28.36,61,13,990.45,  0.12,28
256,2018-08-24 16:08:54,0,29,28.36,61,13,990.50,  0.13,28
257,2018-08-24 16:08:58,0,29,28.36,61,13,990.49,  0.16,28
258,2018-08-24 16:09:03,0,29,28.36,61,13,990.45,  0.14,28
259,2018-08-24 16:09:07,0,29,28.37,61,13,990.50,  0.12,28
260,2018-08-24 16:09:11,0,29,28.37,61,13,990.47,  0.16,28
261,2018-08-24 16:09:16,0,29,28.36,61,13,990.45,  0.12,28
262,2018-08-24 16:09:20,0,29,28.36,61,13,990.50,  0.16,28
263,2018-08-24 16:09:24,0,29,28.36,61,13,990.39,  0.12,28
264,2018-08-24 16:09:29,0,29,28.37,61,13,990.45,  0.12,28
265,2018-08-24 16:09:33,0,29,28.36,61,13,990.45,  0.16,28
266,2018-08-24 16:09:37,0,29,28.36,61,13,990.47,  0.16,28
267,2018-08-24 16:09:42,0,29,28.36,61,13,990.41,  0.14,28
268,2018-08-24 16:09:46,0,29,28.36,61,13,990.45,  0.12,28
269,2018-08-24 16:09:50,0,29,28.37,61,13,990.45,  0.12,28
270,2018-08-24 16:09:55,0,29,28.37,61,13,990.45,  0.16,28
271,2018-08-24 16:09:59,0,29,28.37,61,13,990.45,  0.14,28
272,2018-08-24 16:10:03,0,29,28.37,61,13,990.45,  0.12,28
273,2018-08-24 16:10:08,0,29,28.38,61,13,990.41,  0.16,28
274,2018-08-24 16:10:12,0,29,28.37,61,13,990.41,  0.16,28
275,2018-08-24 16:10:16,0,29,28.37,61,13,990.36,  0.16,28
276,2018-08-24 16:10:21,0,29,28.38,61,13,990.45,  0.12,28
277,2018-08-24 16:10:25,0,29,28.37,61,13,990.41,  0.15,28
278,2018-08-24 16:10:29,0,29,28.39,61,13,990.50,  0.15,28
279,2018-08-24 16:10:34,0,29,28.38,61,13,990.50,  0.16,28
280,2018-08-24 16:10:38,0,29,28.38,61,13,990.47,  0.12,28
281,2018-08-24 16:10:42,0,29,28.39,61,13,990.47,  0.12,28
282,2018-08-24 16:10:48,0,29,28.38,61,13,990.41,  0.12,28
283,2018-08-24 16:10:51,0,29,28.39,61,13,990.41,  0.15,28
284,2018-08-24 16:10:55,0,29,28.39,61,13,990.47,  0.16,28
285,2018-08-24 16:11:01,0,29,28.38,61,13,990.47,  0.16,28
286,2018-08-24 16:11:05,0,29,28.39,61,13,990.50,  0.15,28
287,2018-08-24 16:11:08,0,29,28.39,61,13,990.39,  0.12,28
288,2018-08-24 16:11:14,0,29,28.39,61,13,990.50,  0.12,28
289,2018-08-24 16:11:18,0,29,28.40,61,13,990.47,  0.16,28
290,2018-08-24 16:11:22,0,29,28.40,61,13,990.54,  0.16,28
291,2018-08-24 16:11:27,0,29,28.41,61,13,990.47,  0.14,28
292,2018-08-24 16:11:31,0,29,28.41,61,13,990.54,  0.12,28
293,2018-08-24 16:11:35,0,29,28.39,61,13,990.47,  0.12,28
294,2018-08-24 16:11:40,0,29,28.41,61,13,990.54,  0.13,28
295,2018-08-24 16:11:44,0,29,28.42,61,13,990.50,  0.16,28
296,2018-08-24 16:11:48,0,29,28.42,61,13,990.47,  0.16,28
297,2018-08-24 16:11:53,0,29,28.41,61,13,990.45,  0.12,28
298,2018-08-24 16:11:57,0,29,28.42,61,13,990.50,  0.12,28
299,2018-08-24 16:12:01,0,29,28.41,61,13,990.50,  0.12,28
300,2018-08-24 16:12:06,0,29,28.41,61,13,990.50,  0.16,28
301,2018-08-24 16:12:10,0,29,28.41,61,8,990.54,  0.16,28
302,2018-08-24 16:12:14,0,29,28.41,61,12,990.57,  0.16,28
303,2018-08-24 16:12:19,0,29,28.41,61,12,990.50,  0.13,28
304,2018-08-24 16:12:23,0,29,28.40,61,12,990.45,  0.12,28
305,2018-08-24 16:12:27,0,29,28.41,61,12,990.57,  0.14,28
306,2018-08-24 16:12:32,0,29,28.42,61,12,990.54,  0.16,28
307,2018-08-24 16:12:36,0,29,28.41,61,13,990.59,  0.15,28
308,2018-08-24 16:12:40,0,29,28.41,61,14,990.54,  0.16,28
309,2018-08-24 16:12:45,0,29,28.40,61,14,990.45,  0.16,28
310,2018-08-24 16:12:49,0,29,28.42,61,14,990.50,  0.14,28
311,2018-08-24 16:12:53,0,29,28.41,61,14,990.50,  0.12,28
312,2018-08-24 16:12:58,0,29,28.43,61,14,990.50,  0.12,28
313,2018-08-24 16:13:02,0,29,28.42,61,14,990.42,  0.13,28
314,2018-08-24 16:13:06,0,29,28.43,61,14,990.42,  0.12,28
315,2018-08-24 16:13:11,0,29,28.43,61,14,990.60,  0.13,28
316,2018-08-24 16:13:15,0,29,28.43,61,14,990.50,  0.16,28
317,2018-08-24 16:13:19,0,29,28.44,61,13,990.47,  0.16,28
318,2018-08-24 16:13:25,0,29,28.44,61,14,990.54,  0.16,28
319,2018-08-24 16:13:28,0,29,28.44,61,14,990.45,  0.13,28
320,2018-08-24 16:13:32,0,29,28.44,61,14,990.50,  0.12,28
321,2018-08-24 16:13:38,0,29,28.43,61,14,990.45,  0.12,28
322,2018-08-24 16:13:42,0,29,28.44,61,14,990.45,  0.16,28
323,2018-08-24 16:13:45,0,29,28.43,61,14,990.50,  0.16,28
324,2018-08-24 16:13:51,0,29,28.43,61,14,990.45,  0.13,28
325,2018-08-24 16:13:55,0,29,28.45,61,14,990.42,  0.12,28
326,2018-08-24 16:13:59,0,29,28.45,61,14,990.50,  0.12,28
