metadata:2018-08-23 17:24:54
Number,Time,Oxy,Temperature1,Temperature2,Huminity,Lux,Atmospheric Pressure,
0,2018-08-23 17:24:54,0,30,29.76,61,4,989.35,  0.27,29
1,2018-08-23 17:24:58,0,31,29.76,63,4,989.38,  0.15,29
2,2018-08-23 17:25:02,0,31,29.75,63,4,989.44,  0.17,29
3,2018-08-23 17:25:07,0.0027,31,29.72,62,4,989.32,  0.13,29
4,2018-08-23 17:25:11,0.0121,31,29.71,62,4,989.32,  0.12,29
5,2018-08-23 17:25:15,0.0241,31,29.70,62,4,989.32,  0.13,29
6,2018-08-23 17:25:20,0.0321,31,29.69,62,4,989.40,  0.12,29
7,2018-08-23 17:25:24,0.0375,31,29.67,62,4,989.43,  0.13,29
8,2018-08-23 17:25:28,0.0375,31,29.65,62,4,989.35,  0.13,29
9,2018-08-23 17:25:34,0.0348,31,29.64,62,4,989.34,  0.14,29
10,2018-08-23 17:25:38,0.0321,31,29.64,62,4,989.43,  0.12,29
11,2018-08-23 17:25:41,0.0308,31,29.62,62,4,989.37,  0.12,29
12,2018-08-23 17:25:47,0.0295,31,29.60,62,4,989.37,  0.13,29
13,2018-08-23 17:25:51,0.0295,31,29.59,62,0,989.08,  0.12,29
14,2018-08-23 17:25:55,0.0295,31,29.59,62,0,989.34,  0.12,29
15,2018-08-23 17:26:00,0.0295,31,29.57,62,0,989.42,  0.13,29
16,2018-08-23 17:26:04,0.0295,31,29.57,62,0,989.37,  0.12,29
17,2018-08-23 17:26:08,0.0295,31,29.56,62,0,989.45,  0.12,29
18,2018-08-23 17:26:13,0.0254,31,29.54,62,0,989.39,  0.12,29
19,2018-08-23 17:26:17,0.0241,31,29.53,62,0,989.42,  0.12,29
20,2018-08-23 17:26:21,0.0214,31,29.52,62,0,989.34,  0.14,29
21,2018-08-23 17:26:26,0.0188,31,29.51,62,0,989.39,  0.12,29
22,2018-08-23 17:26:30,0.0174,31,29.51,62,0,989.39,  0.14,29
23,2018-08-23 17:26:34,0.0147,31,29.50,62,0,989.33,  0.16,29
24,2018-08-23 17:26:39,0.0121,31,29.50,62,0,989.39,  0.12,29
25,2018-08-23 17:26:43,0.0121,31,29.49,62,0,989.36,  0.12,29
26,2018-08-23 17:26:47,0.0107,31,29.49,62,0,989.36,  0.15,29
27,2018-08-23 17:26:52,0.0080,31,29.48,62,0,989.30,  0.12,29
28,2018-08-23 17:26:56,0.0080,31,29.48,62,0,989.33,  0.15,29
29,2018-08-23 17:27:00,0.0080,31,29.46,62,0,989.33,  0.16,29
30,2018-08-23 17:27:05,0.0094,31,29.47,62,0,989.39,  0.16,29
31,2018-08-23 17:27:09,0.0121,31,29.46,62,0,989.36,  0.16,29
32,2018-08-23 17:27:13,0.0121,31,29.46,62,0,989.42,  0.12,29
33,2018-08-23 17:27:19,0.0121,31,29.45,62,0,989.39,  0.16,29
34,2018-08-23 17:27:23,0.0121,31,29.45,62,0,989.39,  0.16,29
35,2018-08-23 17:27:26,0.0121,31,29.45,62,0,989.41,  0.12,29
36,2018-08-23 17:27:32,0.0134,31,29.44,62,0,989.36,  0.16,29
